location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Park View City - Tulip Overseas, Park View City",Lahore,4.0,4.0,18000000.0,1125.0,16000.0,16.705882371415992,0.125,Private,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,86000000.0,4500.0,19111.11111111111,18.26985786584569,0.125,DHA,7,0,0,7
"Sabzazar Scheme, Lahore",Lahore,3.0,3.0,16500000.0,675.0,24444.444444444445,16.61887099947687,0.125,Established,0,0,0,0
"Bahria Orchard Phase 1, Bahria Orchard",Lahore,1.0,1.0,7020000.0,517.5,13565.217391304348,15.764273918452126,0.041666666666666664,Bahria,0,0,0,1
"Bahria Orchard Phase 1, Bahria Orchard",Lahore,1.0,1.0,6844000.0,517.5,13225.12077294686,15.738883060107595,0.041666666666666664,Bahria,0,0,0,1
"Bahria Orchard Phase 1, Bahria Orchard",Lahore,1.0,1.0,6844000.0,517.5,13225.12077294686,15.738883060107595,0.041666666666666664,Bahria,0,0,0,1
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,74900000.0,4500.0,16644.444444444445,18.131664461838582,0.041666666666666664,DHA,7,0,0,7
"Eden City - Block A, Eden City",Lahore,5.0,6.0,46000000.0,2250.0,20444.444444444445,17.6441519761925,0.041666666666666664,Private,0,0,0,0
"Bahria Orchard Phase 1, Bahria Orchard",Lahore,1.0,1.0,6844000.0,517.5,13225.12077294686,15.738883060107595,0.041666666666666664,Bahria,0,0,0,1
"Dha Phase 6 - Block L, Dha Phase 6",Lahore,5.0,6.0,91500000.0,4500.0,20333.333333333332,18.331849541174712,0.041666666666666664,DHA,6,0,1,6
"Vital Homes Dd, Vital Homes Housing Scheme",Lahore,3.0,4.0,13000000.0,675.0,19259.25925925926,16.380459992348886,0.041666666666666664,Other,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,74700000.0,4500.0,16600.0,18.128990663489926,2.0,DHA,7,0,0,7
"Dha Phase 7, Dha Defence",Lahore,4.0,5.0,46500000.0,2250.0,20666.666666666668,17.65496289206296,2.0,DHA,7,0,0,7
"Dha Phase 6, Dha Defence",Lahore,6.0,7.0,117500000.0,4500.0,26111.11111111111,18.581948900059125,2.0,DHA,6,0,1,6
"Lake City, Raiwind Road",Lahore,6.0,7.0,57500000.0,2250.0,25555.555555555555,17.867295523158884,2.0,Private,0,0,0,0
"Dha Phase 7 - Block P, Dha Phase 7",Lahore,5.0,6.0,76500000.0,4500.0,17000.0,18.15280131186866,1.0,DHA,7,0,0,7
"Paf Falcon Complex, Gulberg",Lahore,4.0,5.0,135000000.0,4500.0,30000.0,18.72078534381011,1.0,Established,0,0,0,0
"Chinar Bagh, Lahore",Lahore,5.0,6.0,65000000.0,4500.0,14444.444444444445,17.989897843244528,1.0,Other,0,0,0,0
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,4.0,5.0,53500000.0,2250.0,23777.777777777777,17.795192230557824,0.041666666666666664,DHA,7,0,0,7
"Sabzazar Scheme, Lahore",Lahore,5.0,5.0,57000000.0,3150.0,18095.238095238095,17.858561843342684,0.125,Established,0,0,0,0
"Sabzazar Scheme, Lahore",Lahore,5.0,5.0,28500000.0,1125.0,25333.333333333332,17.1654146803266,0.125,Established,0,0,0,0
"Sabzazar Scheme, Lahore",Lahore,2.0,1.0,3500000.0,337.5,10370.37037037037,15.068273812173887,0.125,Established,0,0,0,0
"Dha Phase 5, Dha Defence",Lahore,4.0,6.0,27500000.0,1125.0,24444.444444444445,17.129696599000436,0.125,DHA,5,0,1,5
"Dha 9 Town - Block C, Dha 9 Town",Lahore,3.0,5.0,28500000.0,1575.0,18095.238095238095,17.1654146803266,0.125,DHA,9,0,0,0
"Vital Homes Ee, Vital Homes Housing Scheme",Lahore,4.0,4.0,14500000.0,675.0,21481.48148148148,16.489659276356317,0.041666666666666664,Other,0,0,0,0
"Shadab Garden, Lahore",Lahore,3.0,3.0,21000000.0,1125.0,18666.666666666668,16.860033043306743,0.041666666666666664,Other,0,0,0,0
"Pak Arab Housing Society, Lahore",Lahore,3.0,3.0,15000000.0,900.0,16666.666666666668,16.52356082573315,0.041666666666666664,Other,0,0,0,0
"Bahria Town - Sector F, Bahria Town",Lahore,1.0,1.0,4473000.0,337.5,13253.333333333334,15.313570105978563,0.041666666666666664,Bahria,0,0,0,0
"Vital Homes Aa, Vital Homes Housing Scheme",Lahore,3.0,4.0,12500000.0,675.0,18518.51851851852,16.341239282272525,0.041666666666666664,Other,0,0,0,0
"Valencia Housing Society, Lahore",Lahore,6.0,6.0,65000000.0,4500.0,14444.444444444445,17.989897843244528,0.041666666666666664,Private,0,0,0,0
"Shadab Garden, Lahore",Lahore,3.0,3.0,12000000.0,675.0,17777.777777777777,16.300417291085605,0.041666666666666664,Other,0,0,0,0
"Khayaban-E-Amin, Lahore",Lahore,2.0,1.0,9000000.0,1125.0,8000.0,16.012735246411598,0.041666666666666664,Other,0,0,0,0
"Dha 9 Town, Dha Defence",Lahore,3.0,4.0,27400000.000000004,1125.0,24355.55555555556,17.126053607854647,2.0,DHA,9,0,0,0
"Lake City Meadows, Lahore",Lahore,5.0,6.0,72500000.0,4500.0,16111.111111111111,18.099097133618006,2.0,Private,0,0,0,0
"Park View City, Lahore",Lahore,4.0,4.0,16900000.0,1125.0,15022.222222222223,16.642824239064897,2.0,Private,0,0,0,0
"Al-Kabir Town - Phase 2, Al-Kabir Town",Lahore,4.0,5.0,10500000.0,675.0,15555.555555555555,16.166885910365842,1.0,Other,0,0,0,2
"Al-Kabir Town - Phase 2, Al-Kabir Town",Lahore,3.0,4.0,10500000.0,675.0,15555.555555555555,16.166885910365842,1.0,Other,0,0,0,2
"Al-Kabir Town - Phase 2, Al-Kabir Town",Lahore,4.0,5.0,12000000.0,675.0,17777.777777777777,16.300417291085605,1.0,Other,0,0,0,2
"Dha Phase 6 - Block G, Dha Phase 6",Lahore,5.0,6.0,115000000.0,4500.0,25555.555555555555,18.560442695023177,0.041666666666666664,DHA,6,0,1,6
"Dha Phase 7 - Block X, Dha Phase 7",Lahore,5.0,6.0,112500000.0,4500.0,25000.0,18.538463788497637,0.041666666666666664,DHA,7,0,0,7
"Park View City, Lahore",Lahore,5.0,6.0,32000000.0,2250.0,14222.222222222223,17.281246492014,0.125,Private,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,78600000.0,4500.0,17466.666666666668,18.179882270122082,0.125,DHA,7,0,0,7
